Customer_ID,Age,Gender,Marital_Status,Education,Employment_Type,Job_Experience,Annual_Income,Monthly_Income,Credit_Score,Loan_Amount,Loan_Term,Interest_Rate,EMI,Existing_Loans,Debt_To_Income_Ratio,Number_of_Dependents,Savings_Balance,Current_Balance,Home_Ownership,Loan_Purpose,Previous_Defaults,Loan_Status,Default
10016,23,Male,Married,Bachelor,Salaried,2,120644.91,10053.74,568,111203.01,48,0.2203,3505.38,4,0.4733,1,4636.21,2183.08,Mortgage,Personal,0,Approved,No
10017,42,Female,Single,Bachelor,Salaried,2,43796.81,3649.73,568,11390.8,60,0.1975,300.2,1,0.1749,0,0.0,1248.23,Rent,Personal,1,Defaulted,Yes
10018,22,Female,Single,Master,Salaried,1,57512.02,4792.67,686,155100.72,24,0.103,7178.61,1,1.5,0,27955.8,5468.03,Rent,Home,0,Approved,No
10019,44,Male,Single,Bachelor,Salaried,5,62164.99,5180.42,706,24111.14,60,0.1123,527.0,2,0.1783,0,10592.28,3983.12,Rent,Auto,0,Approved,No
10020,64,Male,Single,Bachelor,Salaried,38,218559.28,18213.27,787,82572.02,12,0.0669,7132.89,2,0.4304,4,0.0,2280.91,Own,Education,0,Approved,No
10021,50,Male,Single,Master,Salaried,3,85340.18,7111.68,691,67836.77,36,0.1199,2252.83,2,0.4055,1,8189.72,3214.19,Own,Personal,0,Approved,No
10022,58,Female,Married,High School,Salaried,23,95580.0,7965.0,816,45270.7,12,0.0797,3937.4,1,0.5209,0,7182.13,5386.95,Mortgage,Education,0,Approved,No
10023,22,Male,Married,Master,Student,0,12863.57,1071.96,699,3000.0,12,0.103,264.17,4,1.4433,0,8828.01,4262.91,Rent,Education,1,Defaulted,Yes
10024,41,Female,Married,Master,Self-Employed,14,106983.52,8915.29,652,420078.38,36,0.1488,14537.48,2,1.5,0,10295.16,4228.24,Own,Home,0,Defaulted,Yes
10025,53,Female,Single,Master,Self-Employed,7,100593.22,8382.77,708,381711.66,36,0.0869,12083.33,0,1.4414,0,45243.19,12942.97,Mortgage,Home,0,Defaulted,Yes
10026,32,Male,Single,Master,Salaried,5,147303.08,12275.26,706,90347.86,24,0.1144,4229.4,1,0.3711,0,20250.56,8731.74,Mortgage,Education,0,Approved,No
10027,42,Male,Single,Bachelor,Salaried,16,62445.36,5203.78,666,16136.76,36,0.1208,536.59,0,0.1031,0,2105.74,2132.93,Mortgage,Education,0,Approved,No
10028,64,Female,Single,PhD,Salaried,15,251476.09,20956.34,751,577683.07,36,0.0569,17493.21,1,0.8481,0,8827.59,4368.55,Mortgage,Home,0,Approved,No
10029,45,Female,Married,Bachelor,Self-Employed,10,123509.21,10292.43,593,107119.64,36,0.1363,3641.87,1,0.3669,2,49280.31,15596.39,Rent,Auto,0,Approved,No
10030,69,Male,Single,Bachelor,Salaried,0,47218.96,3934.91,750,42291.91,12,0.0516,3623.61,0,0.9209,3,3433.37,1695.95,Rent,Auto,0,Pending,No
10031,47,Male,Married,High School,Salaried,13,56533.22,4711.1,599,13393.88,48,0.1321,360.72,1,0.1075,1,12929.7,5311.37,Rent,Auto,0,Approved,No
10032,62,Male,Divorced,PhD,Salaried,9,87618.73,7301.56,749,60342.85,12,0.0788,5245.78,0,0.7184,2,29200.74,11396.78,Rent,Auto,0,Approved,No
10033,48,Male,Married,Bachelor,Salaried,9,110304.15,9192.01,704,484189.88,24,0.1179,22745.04,0,1.5,0,10226.58,3177.81,Mortgage,Home,0,Approved,No
10034,36,Male,Married,Master,Self-Employed,5,107651.2,8970.93,661,48895.09,36,0.1465,1686.6,0,0.188,2,41615.43,16393.73,Rent,Personal,0,Approved,No
10035,35,Male,Single,High School,Salaried,7,59099.72,4924.98,757,16730.27,36,0.0783,522.95,2,0.2558,0,6420.2,1971.11,Own,Education,0,Approved,No
10036,67,Female,Divorced,Master,Salaried,40,156828.09,13069.01,768,232740.66,24,0.0701,10421.45,1,0.8177,2,7195.28,3869.44,Rent,Home,0,Approved,No
10037,64,Male,Single,Master,Self-Employed,30,187508.03,15625.67,623,75096.16,36,0.1209,2497.5,2,0.1901,3,0.0,1761.64,Own,Personal,1,Approved,No
10038,23,Male,Single,Bachelor,Salaried,2,114938.86,9578.24,645,240328.67,24,0.1294,11418.89,1,1.2109,2,28252.4,7727.83,Rent,Business,0,Approved,No
10039,57,Male,Single,Bachelor,Self-Employed,22,79627.82,6635.65,771,29895.9,36,0.0715,925.15,0,0.1394,2,17378.83,4675.51,Mortgage,Auto,0,Approved,No
10040,27,Female,Single,Bachelor,Unemployed,0,11749.58,979.13,580,7769.68,24,0.2103,399.36,1,0.7143,1,6071.44,2062.86,Rent,Education,0,Defaulted,Yes
10041,41,Female,Married,High School,Salaried,8,88968.64,7414.05,565,323143.01,36,0.1766,11627.35,2,1.5,0,16550.46,8015.91,Rent,Home,1,Defaulted,Yes
10042,29,Male,Divorced,Bachelor,Salaried,7,67487.03,5623.92,616,28570.95,36,0.1292,961.57,2,0.2399,1,1218.93,893.65,Mortgage,Education,1,Approved,No
10043,59,Male,Married,High School,Salaried,23,115720.5,9643.38,702,97763.45,48,0.1188,2568.73,0,0.2664,1,0.0,1280.92,Mortgage,Business,0,Approved,No
10044,38,Female,Married,Bachelor,Salaried,0,44320.99,3693.42,633,8791.81,48,0.15,244.68,1,0.1594,0,11571.13,2541.61,Rent,Auto,0,Approved,No
10045,24,Male,Married,High School,Self-Employed,1,34302.62,2858.55,642,96263.97,48,0.1255,2561.07,1,0.9661,1,11365.45,5795.57,Mortgage,Home,0,Approved,No
10046,45,Male,Married,High School,Salaried,21,90892.43,7574.37,711,135279.16,12,0.0972,11875.58,1,1.5,2,41069.58,20834.37,Mortgage,Business,0,Approved,No
10047,34,Male,Married,High School,Salaried,10,63031.92,5252.66,626,57424.31,48,0.1614,1631.54,0,0.3106,0,16456.9,8507.32,Mortgage,Business,0,Approved,No
10048,29,Male,Married,Master,Self-Employed,8,173583.79,14465.32,594,45381.09,24,0.1521,2204.91,0,0.1524,1,73359.15,31062.3,Mortgage,Personal,1,Approved,No
10049,46,Male,Married,Bachelor,Salaried,23,207252.72,17271.06,631,533002.76,24,0.1422,25646.43,0,1.4849,2,54386.21,23595.55,Own,Home,0,Defaulted,Yes
10050,22,Female,Married,Bachelor,Self-Employed,1,112539.6,9378.3,629,209650.31,36,0.1229,6992.46,2,0.7883,0,0.0,1674.19,Rent,Home,0,Defaulted,Yes
10051,40,Female,Married,Bachelor,Self-Employed,4,56289.25,4690.77,523,21499.06,12,0.1944,1985.8,0,0.4233,1,0.0,1379.38,Rent,Education,1,Approved,No
10052,48,Male,Single,Bachelor,Salaried,10,124553.95,10379.5,809,59763.32,36,0.0701,1845.59,0,0.1778,4,58679.95,21383.39,Mortgage,Auto,0,Approved,No
10053,67,Female,Single,Master,Student,0,10707.87,892.32,634,43432.12,12,0.1581,3936.73,0,1.5,3,3014.21,665.39,Mortgage,Home,0,Defaulted,Yes
10054,27,Male,Married,High School,Salaried,3,48732.9,4061.08,504,39458.17,24,0.221,2048.97,1,0.56,1,2693.35,2029.5,Rent,Personal,1,Defaulted,Yes
10055,64,Male,Divorced,Bachelor,Self-Employed,7,143503.54,11958.63,837,421885.59,48,0.0649,10003.05,0,0.8365,0,0.0,1421.27,Rent,Home,0,Approved,No
10056,28,Female,Married,PhD,Self-Employed,0,119505.64,9958.8,495,44222.13,36,0.2003,1644.13,2,0.1934,0,6456.08,3131.01,Mortgage,Auto,0,Approved,No
10057,67,Female,Divorced,Bachelor,Salaried,43,237727.59,19810.63,754,559765.2,48,0.0508,12911.29,3,0.7008,0,106003.18,40847.11,Mortgage,Home,0,Approved,No
10058,55,Male,Single,High School,Salaried,34,118335.32,9861.28,774,233564.63,24,0.059,10341.21,3,1.0986,0,0.0,5.05,Mortgage,Home,0,Approved,No
10059,34,Male,Married,High School,Salaried,8,39791.66,3315.97,712,86361.07,12,0.112,7640.79,0,1.5,3,19044.63,4903.28,Mortgage,Home,0,Defaulted,Yes
10060,37,Female,Married,High School,Salaried,16,52570.22,4380.85,584,46617.19,36,0.1308,1572.51,1,0.4082,4,0.0,816.64,Rent,Education,0,Approved,No
10061,56,Female,Divorced,PhD,Salaried,22,293783.67,24481.97,689,168717.74,36,0.0966,5417.15,1,0.2337,2,74146.07,18440.2,Rent,Education,0,Approved,No
10062,60,Female,Single,Bachelor,Salaried,39,249923.3,20826.94,679,176070.35,12,0.1013,15490.03,3,0.7838,0,41180.85,13194.06,Mortgage,Auto,0,Approved,No
10063,24,Male,Married,Master,Salaried,1,89837.08,7486.42,567,19315.07,24,0.2179,1000.03,1,0.1678,0,28124.02,11368.13,Mortgage,Education,1,Approved,No
10064,22,Male,Single,PhD,Salaried,1,73704.69,6142.06,637,45616.39,48,0.1373,1240.37,1,0.2525,1,30134.49,11551.21,Rent,Auto,0,Approved,No
10065,26,Male,Married,Bachelor,Salaried,3,122388.46,10199.04,786,202828.56,48,0.0764,4917.43,1,0.5062,1,36105.65,8170.68,Own,Business,0,Approved,No
10066,62,Male,Divorced,High School,Salaried,6,61818.49,5151.54,744,12724.64,24,0.0738,571.91,0,0.111,1,1571.82,2019.92,Own,Education,0,Approved,No
10067,24,Female,Single,High School,Salaried,2,34244.01,2853.67,717,82394.01,36,0.0986,2653.21,2,1.1662,2,12359.55,6349.33,Rent,Home,0,Approved,No
10068,49,Male,Married,Bachelor,Self-Employed,9,71242.9,5936.91,688,38363.1,60,0.1159,845.44,1,0.1836,2,19706.16,2399.29,Rent,Auto,0,Pending,No
10069,38,Male,Divorced,Bachelor,Salaried,5,49082.42,4090.2,582,103814.1,12,0.1555,9397.05,0,1.5,2,19537.58,10239.93,Mortgage,Home,0,Defaulted,Yes
10070,46,Female,Single,Bachelor,Salaried,3,101627.89,8468.99,705,267397.53,36,0.0932,8543.05,0,1.0087,1,0.0,862.47,Rent,Home,0,Approved,No
10071,64,Male,Married,Bachelor,Student,0,12040.94,1003.41,764,6037.13,24,0.0572,266.81,0,0.2659,2,8144.85,4191.78,Mortgage,Education,0,Approved,No
10072,54,Male,Single,Master,Salaried,20,198450.79,16537.57,668,47187.45,36,0.169,1680.01,1,0.121,0,0.0,969.37,Rent,Auto,0,Approved,No
10073,30,Female,Single,Bachelor,Self-Employed,9,106722.63,8893.55,576,23668.56,36,0.1888,866.16,1,0.1378,2,31899.09,11389.73,Mortgage,Personal,0,Pending,No
10074,56,Female,Married,Bachelor,Salaried,19,116356.8,9696.4,680,81388.89,36,0.1094,2662.26,2,0.3158,0,19957.37,4958.29,Rent,Education,0,Approved,No
10075,34,Female,Married,Master,Salaried,0,145063.36,12088.61,663,81675.07,24,0.145,3940.78,2,0.3855,0,0.0,195.25,Mortgage,Personal,0,Approved,No
10076,51,Male,Married,High School,Salaried,19,114445.87,9537.16,689,71751.83,60,0.0872,1479.72,0,0.1552,0,0.0,1285.97,Mortgage,Personal,0,Approved,No
10077,68,Female,Single,High School,Student,0,14076.22,1173.02,617,4417.19,36,0.1454,152.13,2,0.5708,0,8720.86,6293.25,Mortgage,Personal,0,Approved,No
10078,35,Female,Divorced,High School,Unemployed,0,5116.59,426.38,541,4177.31,60,0.195,109.51,0,0.219,4,8424.31,3862.59,Own,Education,0,Defaulted,Yes
10079,28,Male,Married,High School,Self-Employed,5,88697.02,7391.42,544,244541.13,12,0.2269,22968.96,3,1.5,1,12698.23,3145.81,Mortgage,Home,0,Defaulted,Yes
10080,34,Male,Single,Bachelor,Salaried,10,69861.78,5821.82,745,161750.83,60,0.056,3097.1,1,0.5796,3,19500.76,2459.7,Mortgage,Home,0,Approved,No
10081,43,Female,Married,Bachelor,Salaried,17,70090.34,5840.86,666,17692.93,60,0.1318,404.2,2,0.1931,0,24611.93,7616.43,Rent,Education,0,Approved,No
10082,60,Male,Single,Bachelor,Salaried,8,81164.21,6763.68,758,113888.8,36,0.0673,3502.51,2,0.5585,0,26648.99,12653.64,Mortgage,Business,0,Approved,No
10083,41,Female,Single,PhD,Salaried,11,126231.64,10519.3,634,458694.33,36,0.1691,16333.17,0,1.5,1,40667.13,8052.63,Mortgage,Home,0,Approved,No
10084,36,Male,Married,High School,Unemployed,0,7175.24,597.94,551,20295.89,48,0.2237,643.53,0,1.0762,0,6547.89,3787.71,Own,Home,0,Defaulted,Yes
10085,65,Male,Married,Bachelor,Salaried,30,140282.88,11690.24,816,26729.61,36,0.0613,814.74,3,0.1282,1,0.0,627.89,Rent,Education,0,Approved,No
10086,38,Male,Single,High School,Salaried,10,47022.23,3918.52,720,117024.57,12,0.0899,10233.43,1,1.5,1,22348.21,7502.84,Mortgage,Home,0,Rejected,No
10087,67,Female,Married,Bachelor,Salaried,33,233900.95,19491.75,703,53621.67,12,0.0962,4704.73,2,0.2794,2,12061.62,6870.73,Rent,Education,0,Approved,No
10088,44,Male,Single,Bachelor,Salaried,15,120956.46,10079.7,660,77231.47,48,0.1523,2158.42,3,0.2747,1,0.0,373.68,Mortgage,Auto,1,Approved,No
10089,46,Female,Married,Master,Salaried,8,80457.95,6704.83,737,35628.73,48,0.0918,889.67,2,0.2275,1,31758.68,13518.87,Mortgage,Auto,0,Approved,No
10090,45,Female,Single,Bachelor,Salaried,15,69039.97,5753.33,671,22028.34,12,0.1107,1947.62,0,0.3385,0,30792.65,8801.31,Rent,Personal,0,Approved,No
10091,65,Female,Married,High School,Salaried,11,63588.99,5299.08,691,21405.41,36,0.1007,691.4,1,0.1542,2,28069.25,12303.54,Rent,Education,0,Approved,No
10092,61,Female,Single,Bachelor,Self-Employed,12,156286.1,13023.84,710,121713.24,36,0.0962,3905.67,0,0.2999,2,31273.61,17319.83,Mortgage,Auto,0,Approved,No
10093,49,Female,Married,High School,Salaried,3,56447.99,4704.0,695,92851.77,36,0.1059,3021.85,0,0.6424,0,4019.52,1622.43,Rent,Business,0,Approved,No
10094,35,Male,Married,High School,Salaried,12,47296.02,3941.33,808,26098.8,36,0.0516,784.08,0,0.1989,0,19859.84,7040.37,Mortgage,Personal,0,Approved,No
10095,65,Female,Single,Bachelor,Self-Employed,43,152312.98,12692.75,726,138283.85,48,0.112,3587.46,1,0.3064,1,66860.65,23912.63,Rent,Education,0,Approved,No
10096,21,Female,Single,High School,Self-Employed,0,27473.99,2289.5,514,65727.41,36,0.1721,2350.24,0,1.0265,3,0.0,0.0,Rent,Home,1,Defaulted,Yes
10097,45,Male,Married,Bachelor,Salaried,1,103883.54,8656.96,494,13673.33,36,0.2117,516.34,0,0.0596,0,42883.42,13550.66,Rent,Auto,1,Approved,No
10098,27,Male,Single,Bachelor,Salaried,0,108453.92,9037.83,591,99479.05,24,0.1585,4863.68,2,0.5993,2,2303.75,1736.48,Rent,Education,0,Approved,No
10099,29,Female,Married,Bachelor,Self-Employed,1,45069.48,3755.79,615,23286.42,24,0.1227,1099.11,1,0.3514,1,19041.48,3159.77,Mortgage,Personal,0,Approved,No
10100,44,Male,Married,High School,Salaried,5,40378.86,3364.9,703,30159.08,24,0.0818,1366.49,1,0.47,1,21382.34,2937.47,Rent,Auto,0,Approved,No
10101,21,Female,Married,PhD,Salaried,0,83883.61,6990.3,786,26664.03,12,0.0733,2311.21,1,0.3545,4,17814.02,8459.41,Mortgage,Auto,0,Approved,No
10102,64,Male,Divorced,Bachelor,Salaried,20,176000.34,14666.7,648,144253.03,36,0.1374,4912.03,0,0.3349,1,23697.47,10646.29,Rent,Personal,0,Approved,No
10103,28,Male,Married,Master,Self-Employed,3,149998.5,12499.88,587,56079.23,36,0.1579,1965.77,1,0.1869,2,2031.26,1798.56,Mortgage,Auto,0,Approved,No
10104,44,Female,Married,Bachelor,Self-Employed,0,68945.53,5745.46,617,232506.81,36,0.1491,8049.68,2,1.4611,1,4777.56,3551.97,Rent,Home,0,Approved,No
10105,31,Male,Married,Bachelor,Unemployed,0,11693.3,974.44,571,27505.35,12,0.1795,2521.04,1,1.5,0,4388.33,3524.61,Own,Business,0,Defaulted,Yes
10106,37,Male,Divorced,Bachelor,Salaried,14,88858.78,7404.9,667,258767.74,60,0.1609,6305.11,1,0.879,2,0.0,623.68,Rent,Home,0,Approved,No
10107,28,Female,Single,Bachelor,Salaried,2,83034.74,6919.56,655,41414.98,36,0.1328,1401.03,0,0.2025,3,28677.27,12461.8,Rent,Education,0,Approved,No
10108,55,Male,Married,High School,Self-Employed,27,155614.0,12967.83,764,86365.0,36,0.0604,2628.96,0,0.2027,2,0.0,2294.55,Rent,Auto,0,Approved,No
10109,55,Female,Divorced,Bachelor,Salaried,5,119439.35,9953.28,633,42759.29,24,0.1319,2036.67,2,0.2539,0,0.0,502.4,Rent,Personal,0,Approved,No
10110,53,Female,Married,Master,Salaried,5,118462.16,9871.85,651,127797.71,48,0.1214,3374.2,0,0.3418,0,23626.89,4671.83,Own,Business,0,Approved,No
10111,25,Female,Single,Bachelor,Salaried,2,49290.57,4107.55,549,22596.04,12,0.2133,2107.58,2,0.6433,1,4560.13,2369.19,Rent,Personal,2,Defaulted,Yes
10112,62,Male,Divorced,High School,Salaried,13,106730.75,8894.23,547,48344.8,36,0.2016,1800.61,2,0.2709,1,18777.46,8902.57,Rent,Education,1,Approved,No
10113,59,Male,Married,Bachelor,Self-Employed,20,140686.98,11723.92,655,97923.85,12,0.1412,8797.83,1,0.7825,0,30974.16,7073.62,Rent,Auto,0,Approved,No
10114,61,Female,Married,Master,Salaried,19,142269.15,11855.76,556,109938.54,24,0.1704,5437.72,0,0.4587,0,9339.65,2908.67,Mortgage,Education,0,Approved,No
10115,48,Female,Married,Bachelor,Salaried,4,82756.03,6896.34,653,244041.35,48,0.1439,6716.63,1,1.0182,2,36333.11,4185.58,Mortgage,Home,0,Approved,No
10116,27,Female,Single,High School,Salaried,4,47033.84,3919.49,584,18793.11,36,0.1317,634.75,0,0.1619,2,10429.77,4857.79,Mortgage,Personal,0,Approved,No
10117,29,Female,Single,Master,Salaried,8,138739.32,11561.61,670,441011.59,24,0.1491,21364.32,0,1.5,2,52301.71,26704.25,Mortgage,Home,0,Approved,No
10118,28,Male,Married,Bachelor,Unemployed,0,4729.36,394.11,547,3000.0,12,0.2286,282.03,0,0.5641,3,4848.79,3339.01,Own,Education,1,Defaulted,Yes
10119,32,Male,Married,Bachelor,Unemployed,0,6459.84,538.32,501,13734.53,12,0.2137,1281.31,1,1.5,0,6159.17,4311.78,Mortgage,Home,1,Defaulted,Yes
10120,54,Male,Married,Bachelor,Salaried,29,150054.16,12504.51,775,28999.79,24,0.0567,1280.98,1,0.1324,3,0.0,602.9,Rent,Auto,0,Approved,No
10121,53,Male,Married,Master,Unemployed,0,8160.69,680.06,484,3000.0,48,0.2022,91.64,0,0.1348,2,1877.34,2176.23,Rent,Education,0,Defaulted,Yes
10122,68,Male,Married,Master,Salaried,41,135739.83,11311.65,633,108524.14,36,0.127,3640.95,3,0.3546,4,29484.12,15510.57,Rent,Auto,0,Approved,No
10123,43,Female,Single,Master,Salaried,10,153825.17,12818.76,581,278197.88,36,0.1403,9512.2,0,0.7421,0,16906.1,9080.47,Rent,Business,0,Approved,No
10124,44,Male,Married,High School,Salaried,5,65586.83,5465.57,605,28679.86,24,0.1283,1361.2,1,0.2865,0,24176.76,10064.73,Rent,Auto,0,Approved,No
10125,57,Male,Single,Master,Salaried,26,182026.81,15168.9,725,500324.21,48,0.0895,12438.71,0,0.82,2,82439.53,12045.52,Rent,Home,0,Approved,No
10126,55,Male,Married,High School,Self-Employed,4,43320.16,3610.01,751,31069.15,12,0.0737,2693.61,0,0.7462,3,0.0,584.58,Rent,Personal,0,Approved,No
10127,64,Female,Divorced,Bachelor,Self-Employed,4,116514.87,9709.57,718,45208.42,48,0.0983,1142.91,1,0.1415,2,32094.56,10931.89,Rent,Personal,0,Approved,No
10128,60,Female,Single,Bachelor,Self-Employed,39,162198.42,13516.54,617,128253.64,36,0.1436,4405.86,2,0.3737,2,39448.52,17365.24,Rent,Education,0,Approved,No
10129,42,Female,Married,Bachelor,Unemployed,0,5117.29,426.44,522,7516.29,24,0.1922,379.69,0,0.7594,0,7364.08,5007.28,Own,Business,0,Defaulted,Yes
10130,47,Female,Single,Bachelor,Salaried,14,112690.53,9390.88,637,373068.62,60,0.1387,8655.53,0,0.9217,2,7663.38,4875.59,Mortgage,Home,0,Approved,No
10131,55,Male,Single,Bachelor,Salaried,8,77021.0,6418.42,794,105628.62,36,0.0587,3207.21,0,0.4997,2,16370.97,6567.45,Mortgage,Business,0,Approved,No
10132,21,Female,Single,Master,Salaried,0,133076.33,11089.69,628,398907.58,36,0.1333,13504.27,1,1.2475,2,58847.12,20368.08,Mortgage,Home,0,Approved,No
10133,55,Male,Married,High School,Unemployed,0,7649.48,637.46,420,6170.23,36,0.2253,237.34,3,1.2841,2,7373.9,2911.22,Mortgage,Auto,1,Defaulted,Yes
10134,57,Male,Single,Bachelor,Student,0,12543.79,1045.32,705,10367.96,48,0.1193,272.67,0,0.2608,0,4204.09,2300.67,Rent,Personal,0,Approved,No
10135,67,Female,Married,Master,Salaried,46,353688.56,29474.05,758,1285558.48,48,0.0638,30415.86,1,1.0417,2,0.0,288.07,Rent,Home,0,Approved,No
10136,34,Female,Married,High School,Self-Employed,8,85021.68,7085.14,645,70716.78,24,0.1426,3404.01,3,0.5841,1,31565.08,11188.31,Rent,Education,1,Approved,No
10137,23,Male,Single,Bachelor,Self-Employed,1,106798.06,8899.84,644,61944.58,36,0.1335,2097.62,0,0.2357,4,13760.24,4521.97,Rent,Education,0,Approved,No
10138,21,Male,Married,Bachelor,Salaried,0,106459.8,8871.65,754,59951.79,36,0.0704,1852.23,1,0.225,1,44433.95,12594.21,Rent,Auto,0,Approved,No
10139,25,Female,Married,Bachelor,Salaried,4,76873.99,6406.17,596,132268.17,48,0.1638,3774.31,1,0.6484,1,25635.45,10657.25,Mortgage,Business,1,Defaulted,Yes
10140,46,Male,Divorced,Bachelor,Salaried,22,133064.17,11088.68,681,264847.29,48,0.1087,6828.41,3,0.6651,4,59565.88,21957.07,Mortgage,Home,0,Approved,No
10141,34,Male,Single,High School,Salaried,11,39604.24,3300.35,677,29720.68,36,0.0944,951.21,2,0.4762,0,1790.1,1191.93,Mortgage,Auto,0,Approved,No
10142,59,Male,Single,Master,Unemployed,0,11257.06,938.09,651,10780.59,24,0.1256,510.3,1,0.8876,0,5694.12,2083.47,Mortgage,Education,1,Defaulted,Yes
10143,47,Male,Married,High School,Self-Employed,0,54357.26,4529.77,659,164617.85,48,0.1304,4419.55,2,1.0411,2,4863.98,3241.55,Rent,Home,0,Approved,No
10144,29,Female,Married,Bachelor,Salaried,6,112745.25,9395.44,682,100441.47,36,0.0836,3164.18,0,0.3368,0,53066.74,19958.89,Rent,Personal,0,Approved,No
10145,35,Male,Married,High School,Self-Employed,14,73008.41,6084.03,636,23237.81,24,0.148,1124.52,2,0.2888,0,26349.6,6984.23,Rent,Auto,0,Approved,No
10146,35,Male,Divorced,Bachelor,Salaried,9,99332.49,8277.71,722,73993.01,36,0.1181,2450.92,1,0.3394,3,0.0,971.19,Mortgage,Business,0,Approved,No
10147,46,Female,Divorced,Bachelor,Salaried,5,93885.88,7823.82,689,398316.57,48,0.0943,9993.65,2,1.3526,1,1824.81,1488.83,Rent,Home,0,Defaulted,Yes
10148,62,Female,Single,Master,Salaried,15,207257.08,17271.42,737,105027.38,24,0.0928,4811.65,0,0.2786,0,63516.17,18342.53,Rent,Personal,0,Approved,No
10149,33,Male,Married,Bachelor,Self-Employed,11,120200.61,10016.72,588,88135.02,12,0.149,7950.76,2,0.8505,0,36179.08,15923.99,Mortgage,Personal,0,Approved,No
10150,52,Male,Married,Bachelor,Unemployed,0,10112.1,842.68,583,10385.82,36,0.1255,347.69,2,0.7668,0,2509.08,1689.02,Own,Auto,0,Defaulted,Yes
10151,59,Male,Divorced,Master,Salaried,16,117536.51,9794.71,651,168894.62,36,0.1411,5781.45,0,0.5903,1,15617.66,7389.28,Mortgage,Business,0,Approved,No
10152,69,Female,Single,Bachelor,Student,0,7058.39,588.2,677,4607.75,48,0.093,115.32,0,0.1961,0,6059.34,4295.16,Rent,Education,0,Approved,No
10153,52,Female,Married,Bachelor,Self-Employed,9,72094.99,6007.92,658,21207.96,48,0.1567,597.46,0,0.0994,3,7188.48,4282.93,Own,Education,0,Approved,No
10154,24,Female,Divorced,Bachelor,Salaried,0,37863.29,3155.27,653,25700.87,36,0.1574,900.27,1,0.3945,1,2882.26,4496.82,Rent,Education,1,Approved,No
10155,50,Female,Married,Bachelor,Salaried,9,69264.49,5772.04,651,50076.68,48,0.1556,1407.93,2,0.3443,0,21583.9,9792.84,Mortgage,Education,1,Rejected,No
10156,57,Female,Married,Master,Self-Employed,7,79199.6,6599.97,554,205433.2,12,0.1987,19017.42,0,1.5,0,23370.94,11669.74,Mortgage,Home,0,Defaulted,Yes
