Age,Gender,Annual Income,Monthly Income,Employment Type,Job Experience,Loan Amount,Loan Term,Credit Score,Existing Loans,Debt To Income Ratio,Number of Dependents,Education,Home Ownership,Marital Status,Loan Purpose,Previous Defaults,Savings Balance,Current Balance,EMI,Loan Default
22,Female,46673.48,3889.46,Salaried,1,17802.31,48,733,0,0.1139,1,Bachelor,Mortgage,Divorced,Auto,0,6841.44,3996.09,443.01,0
40,Female,76707.77,6392.31,Self-Employed,12,49997.09,36,625,1,0.2847,1,High School,Mortgage,Married,Auto,1,9204.43,6251.19,1684.6,0
48,Male,181631.46,15135.96,Salaried,25,76426.42,36,665,0,0.1701,1,Bachelor,Mortgage,Divorced,Personal,0,25416.53,7330.97,2575.11,0
67,Male,8130.22,677.52,Unemployed,0,12661.47,36,629,1,0.9551,3,Bachelor,Own,Divorced,Home,0,4133.27,2907.12,426.61,1
27,Male,48045.37,4003.78,Salaried,1,19807.04,48,656,0,0.1327,0,High School,Rent,Single,Education,0,1670.77,1374.7,531.37,0
64,Female,131673.14,10972.76,Salaried,19,95215.04,36,704,2,0.3008,2,Master,Mortgage,Married,Education,0,20207.9,11729.83,3027.81,0
28,Female,64225.97,5352.16,Salaried,4,47435.38,12,637,0,0.7916,2,Bachelor,Mortgage,Married,Auto,0,3389.63,5626.61,4236.8,0
67,Female,171234.04,14269.5,Salaried,5,112854.83,12,803,2,0.7083,3,Master,Rent,Single,Business,1,44188.19,11659.43,9713.01,0
55,Male,72739.33,6061.61,Salaried,8,24435.51,36,728,1,0.1605,1,Bachelor,Rent,Single,Education,0,36530.97,19229.67,777.04,0
34,Male,169638.98,14136.58,Salaried,4,96445.66,36,621,0,0.2299,1,Master,Rent,Single,Education,0,22668.3,6089.29,3249.64,0
37,Male,4102.26,341.86,Unemployed,0,2000.0,48,515,2,0.9787,4,Bachelor,Own,Married,Personal,0,6682.95,2579.83,58.75,1
56,Male,70742.7,5895.22,Salaried,15,15617.05,24,695,0,0.121,1,High School,Mortgage,Single,Education,0,24790.45,7848.82,713.46,0
60,Female,43035.17,3586.26,Salaried,3,17206.62,36,739,1,0.2267,1,Bachelor,Mortgage,Divorced,Personal,0,15727.43,5525.52,547.17,0
24,Female,117864.09,9822.01,Self-Employed,3,267469.31,36,649,2,0.9522,0,Bachelor,Mortgage,Married,Home,1,28502.04,12135.79,9012.1,1
22,Male,47139.43,3928.29,Salaried,1,22912.73,24,681,0,0.2665,0,Bachelor,Rent,Married,Personal,0,10481.84,5448.05,1046.76,0
26,Female,5573.29,464.44,Unemployed,0,6564.5,24,621,0,0.6242,1,Bachelor,Mortgage,Single,Home,0,7150.36,4832.39,312.09,1
62,Male,142306.93,11858.91,Salaried,28,37780.06,48,707,2,0.1308,2,High School,Mortgage,Married,Education,1,69117.6,8666.44,940.16,0
24,Female,104643.73,8720.31,Salaried,2,158268.94,24,748,0,0.8292,2,Bachelor,Mortgage,Married,Business,0,38962.53,23089.04,7230.48,0
49,Male,148906.61,12408.88,Salaried,12,58308.15,24,683,1,0.236,0,Bachelor,Rent,Single,Education,0,35479.89,10665.71,2663.79,0
38,Male,173935.23,14494.6,Salaried,16,132933.6,24,638,2,0.4787,2,Bachelor,Own,Married,Auto,0,0.0,1829.51,6319.91,0
46,Male,139696.01,11641.33,Self-Employed,8,84553.57,36,502,0,0.2626,1,Bachelor,Rent,Married,Auto,1,16921.84,8935.55,3056.81,1
64,Male,311272.3,25939.36,Salaried,24,316565.25,36,773,0,0.3713,1,PhD,Rent,Single,Business,0,27300.4,13990.24,9630.53,0
54,Male,10824.24,902.02,Student,0,6951.53,60,598,1,0.5258,4,Bachelor,Mortgage,Married,Auto,0,4912.57,4065.54,158.17,0
30,Female,89170.14,7430.84,Salaried,3,40862.07,36,753,0,0.1673,0,Bachelor,Mortgage,Single,Personal,0,42749.48,11863.47,1243.1,0
56,Female,69757.06,5813.09,Self-Employed,9,179989.3,24,507,1,1.5,2,Master,Mortgage,Married,Home,2,34944.44,12572.29,8985.8,1
34,Female,12225.7,1018.81,Student,0,5620.93,36,658,2,0.9054,1,Bachelor,Mortgage,Married,Personal,0,8830.5,4057.61,189.39,1
51,Male,63947.55,5328.96,Salaried,19,107520.72,36,641,1,0.7288,2,High School,Mortgage,Single,Home,0,23592.19,5585.27,3622.8,0
68,Female,191332.43,15944.37,Self-Employed,47,322788.38,24,727,0,0.9249,1,High School,Rent,Married,Business,0,68954.0,10791.3,14746.5,0
35,Male,98003.78,8166.98,Salaried,6,219525.27,48,636,2,0.7491,0,Bachelor,Own,Married,Home,0,22173.85,12890.15,5889.31,0
28,Male,83285.88,6940.49,Self-Employed,3,46942.1,12,724,1,0.6425,1,High School,Rent,Married,Auto,1,41751.06,9459.34,4105.16,0
34,Female,53270.51,4439.21,Self-Employed,0,20343.27,12,576,1,0.5045,0,Bachelor,Rent,Single,Education,0,13037.47,4967.43,1865.07,0
43,Female,85642.58,7136.88,Salaried,10,14284.01,24,701,1,0.1356,0,High School,Rent,Single,Education,0,0.0,1679.22,652.56,0
60,Male,77517.5,6459.79,Salaried,12,7331.79,12,730,0,0.0993,2,High School,Mortgage,Single,Auto,0,24206.23,9024.07,641.18,0
41,Male,180407.66,15033.97,Salaried,17,45875.97,12,649,2,0.2956,1,Bachelor,Rent,Divorced,Education,1,29441.53,5071.79,4097.52,0
36,Female,4659.94,388.33,Unemployed,0,7307.67,12,644,0,1.3054,2,PhD,Rent,Single,Home,0,7890.38,2987.9,652.7,1
65,Male,2594.38,216.2,Unemployed,0,10744.89,36,559,3,1.47,1,Bachelor,Mortgage,Married,Home,0,7520.31,5665.86,388.45,1
38,Male,121088.41,10090.7,Self-Employed,4,222508.07,48,676,0,0.5487,1,Master,Rent,Divorced,Home,0,28884.71,18612.9,5537.12,0
67,Female,306483.91,25540.33,Salaried,35,169481.37,24,771,1,0.3052,4,PhD,Rent,Married,Auto,0,0.0,2970.42,7511.52,0
44,Male,5117.07,426.42,Unemployed,0,2451.04,24,545,0,0.2447,4,High School,Rent,Married,Auto,2,849.39,1569.0,122.37,1
46,Male,11865.38,988.78,Unemployed,0,36971.19,48,661,0,1.0031,0,Bachelor,Mortgage,Divorced,Home,1,5571.78,5959.55,991.84,1
45,Male,82038.45,6836.54,Salaried,23,33485.26,24,681,0,0.2238,3,Bachelor,Own,Single,Auto,0,10939.79,6056.94,1529.77,0
65,Female,128342.41,10695.2,Salaried,5,210992.21,24,678,1,0.9194,0,Master,Rent,Single,Business,0,11564.15,7507.04,9639.12,0
61,Female,4602.17,383.51,Unemployed,0,2000.0,36,627,1,0.4941,0,Bachelor,Mortgage,Single,Education,0,10039.82,6951.14,67.39,0
49,Female,2019.12,168.26,Unemployed,0,2000.0,36,548,1,0.8775,1,PhD,Own,Single,Auto,1,3914.71,2016.15,72.3,1
35,Female,116052.23,9671.02,Salaried,14,360268.37,36,665,0,1.2552,4,High School,Rent,Married,Home,0,0.0,1364.63,12138.87,0
65,Female,9816.13,818.01,Student,0,2000.0,36,574,0,0.0884,4,High School,Mortgage,Single,Auto,1,3095.12,2959.36,72.3,1
21,Male,101789.29,8482.44,Salaried,0,206444.88,36,713,1,0.8005,0,Bachelor,Own,Married,Home,0,43258.34,16990.77,6564.89,0
45,Male,13400.67,1116.72,Student,0,14798.54,24,715,3,1.2771,2,Bachelor,Rent,Single,Business,0,9844.38,7538.39,676.07,1
27,Female,81361.26,6780.1,Salaried,6,56593.33,24,805,1,0.4055,2,High School,Rent,Single,Auto,0,19863.21,10359.96,2508.25,0
29,Female,74803.35,6233.61,Salaried,1,198299.78,36,659,4,1.1512,0,Bachelor,Own,Married,Home,0,18708.75,8512.17,6681.5,0
44,Female,78171.87,6514.32,Salaried,3,42284.36,12,727,0,0.5676,2,High School,Rent,Single,Personal,0,11672.1,2710.91,3697.83,0
21,Female,5672.72,472.73,Unemployed,0,2823.46,24,561,3,1.2055,1,Bachelor,Rent,Married,Personal,0,6943.38,5318.24,140.96,1
64,Male,138074.81,11506.23,Salaried,13,75592.06,12,744,0,0.5745,0,Master,Mortgage,Divorced,Personal,0,31906.88,13263.5,6610.64,0
28,Male,84638.98,7053.25,Self-Employed,3,60704.21,24,746,1,0.4107,2,Master,Rent,Married,Personal,0,6330.39,5385.29,2773.26,0
44,Male,119458.72,9954.89,Salaried,17,363559.82,36,746,3,1.2481,0,Bachelor,Own,Single,Home,0,26957.31,9513.8,11561.11,0
31,Male,151623.02,12635.25,Self-Employed,9,115371.52,24,668,0,0.4341,0,Bachelor,Rent,Divorced,Personal,0,24454.66,9730.72,5484.97,0
37,Male,128788.88,10732.41,Salaried,15,38036.25,48,574,0,0.1041,0,Bachelor,Rent,Single,Personal,0,62644.66,24381.32,1117.31,0
28,Female,66554.89,5546.24,Salaried,0,17724.71,36,693,1,0.1387,2,High School,Mortgage,Married,Personal,0,32881.38,12218.21,563.64,0
55,Female,128241.61,10686.8,Salaried,31,72952.89,24,626,1,0.3489,1,Bachelor,Mortgage,Single,Auto,0,47239.48,14844.13,3468.31,0
55,Male,93178.92,7764.91,Salaried,7,54746.94,60,733,0,0.1464,1,High School,Own,Single,Education,0,11669.13,7213.1,1136.46,0
53,Male,75949.64,6329.14,Self-Employed,12,38594.8,36,694,0,0.1939,1,Master,Mortgage,Divorced,Business,0,4571.3,3163.67,1227.3,0
25,Male,154466.48,12872.21,Salaried,2,20548.48,48,605,2,0.0626,0,Master,Own,Single,Education,0,73380.84,12639.75,551.26,0
62,Male,138402.39,11533.53,Salaried,8,30930.25,48,690,1,0.0933,3,Bachelor,Mortgage,Married,Auto,0,18325.11,4210.2,769.7,0
59,Female,97017.91,8084.83,Salaried,32,169674.82,24,784,1,0.9582,1,Bachelor,Mortgage,Single,Home,0,27196.32,12757.59,7520.09,0
61,Female,79548.96,6629.08,Salaried,11,147816.63,36,786,0,0.6784,0,High School,Rent,Married,Home,0,26258.24,9863.06,4496.87,0
48,Female,111816.23,9318.02,Salaried,4,58014.21,36,821,1,0.2219,0,Bachelor,Own,Divorced,Auto,0,56202.09,21082.23,1764.9,0
27,Female,67785.59,5648.8,Salaried,0,34108.27,24,586,0,0.2871,0,Bachelor,Mortgage,Married,Education,0,5380.03,4289.94,1621.57,0
29,Female,58593.87,4882.82,Self-Employed,8,131869.47,12,679,0,1.5,3,Bachelor,Rent,Married,Home,1,25870.47,7624.44,11532.18,1
28,Male,79764.0,6647.0,Salaried,5,210460.66,12,719,0,1.5,1,High School,Rent,Married,Home,0,18059.91,5929.29,18405.1,0
32,Male,104381.82,8698.48,Salaried,2,298867.01,48,746,0,0.855,2,Master,Own,Divorced,Home,1,4085.07,4370.23,7437.32,0
54,Male,91590.01,7632.5,Salaried,15,27800.84,12,783,2,0.3412,0,Bachelor,Mortgage,Single,Auto,0,42344.39,27307.61,2392.72,0
53,Female,107320.82,8943.4,Salaried,22,33991.43,60,750,0,0.0789,1,Master,Rent,Married,Education,0,48510.53,30269.45,705.61,0
68,Male,145942.0,12161.83,Self-Employed,7,91414.11,24,789,0,0.3331,3,Master,Mortgage,Single,Education,0,0.0,973.16,4051.53,0
43,Male,2423.02,201.92,Unemployed,0,2000.0,36,611,1,0.5923,0,PhD,Own,Single,Business,0,8410.42,2197.04,67.39,0
44,Female,116198.45,9683.2,Salaried,20,11794.31,48,645,0,0.0327,1,High School,Rent,Single,Education,0,4168.4,4291.12,316.41,0
57,Female,68620.61,5718.38,Salaried,2,254709.59,24,616,1,1.5,3,High School,Rent,Married,Home,0,24801.82,6280.2,12109.36,1
55,Female,118503.75,9875.31,Salaried,23,70290.26,24,618,1,0.3768,2,Bachelor,Mortgage,Divorced,Education,0,38074.8,21484.01,3341.73,0
64,Male,6722.87,560.24,Unemployed,0,2458.95,12,661,0,0.392,0,High School,Rent,Single,Personal,0,7308.75,6426.86,219.63,0
60,Male,161352.31,13446.03,Self-Employed,21,472530.65,60,593,2,0.8583,0,Bachelor,Rent,Married,Home,0,1195.91,3054.12,10751.52,0
42,Male,11591.24,965.94,Unemployed,0,3875.71,36,599,0,0.1352,0,Bachelor,Rent,Married,Personal,0,7792.22,4473.68,130.59,0
47,Male,116297.22,9691.44,Salaried,13,92286.55,48,679,0,0.237,3,Bachelor,Mortgage,Married,Personal,1,0.0,3184.74,2296.55,0
55,Male,137694.54,11474.54,Self-Employed,21,10637.55,36,642,1,0.0589,1,High School,Rent,Divorced,Auto,0,55368.85,29482.06,358.42,0
21,Male,82510.58,6875.88,Self-Employed,0,23286.94,48,669,1,0.1223,4,Master,Rent,Single,Auto,1,0.0,1677.23,624.73,0
55,Female,119073.07,9922.76,Salaried,33,36734.67,12,689,0,0.3238,0,High School,Rent,Single,Auto,0,43210.75,23547.71,3212.5,0
57,Male,110810.8,9234.23,Salaried,35,463652.92,36,686,1,1.5,1,Bachelor,Rent,Single,Home,0,51712.56,19993.14,14744.04,0
67,Female,174312.53,14526.04,Salaried,30,132523.84,36,723,0,0.2901,0,Bachelor,Rent,Divorced,Auto,0,21976.95,5870.58,4214.22,0
34,Female,90159.26,7513.27,Self-Employed,4,77926.47,60,641,0,0.236,0,Bachelor,Rent,Divorced,Personal,0,40497.08,15422.0,1773.07,0
23,Male,10488.14,874.01,Unemployed,0,32955.28,36,581,0,1.2705,0,Bachelor,Rent,Single,Home,0,7129.21,4489.42,1110.39,1
21,Female,74827.58,6235.63,Salaried,0,158056.04,12,728,1,1.5,0,High School,Rent,Single,Business,0,35026.18,17932.53,13822.23,0
25,Male,120380.43,10031.7,Salaried,2,290673.37,60,651,0,0.6593,2,Bachelor,Rent,Married,Home,0,45357.98,9572.34,6613.71,0
46,Male,4363.01,363.58,Unemployed,0,4534.15,60,644,0,0.2063,0,High School,Mortgage,Married,Auto,1,5548.66,4296.54,103.17,0
34,Female,57014.3,4751.19,Salaried,9,148841.88,36,645,0,1.0555,1,High School,Own,Married,Home,0,8047.61,4063.21,5015.07,1
59,Male,67395.16,5616.26,Salaried,4,29661.25,48,661,1,0.2105,3,Bachelor,Mortgage,Divorced,Education,0,33660.69,18313.6,795.74,0
47,Female,90258.66,7521.56,Salaried,18,168214.76,12,705,0,1.5,4,Bachelor,Mortgage,Married,Home,0,39277.98,15627.35,14710.63,0
29,Male,56561.83,4713.49,Salaried,4,30415.45,36,662,0,0.2174,0,Bachelor,Own,Divorced,Personal,1,21773.54,13645.45,1024.82,0
35,Female,7117.44,593.12,Unemployed,0,2000.0,36,547,2,1.3327,3,Bachelor,Rent,Married,Personal,0,7259.73,4383.94,72.3,1
35,Male,199012.32,16584.36,Salaried,4,107394.23,48,715,2,0.1857,0,PhD,Mortgage,Single,Auto,0,48571.19,14547.07,2672.51,0
46,Male,141682.78,11806.9,Self-Employed,1,350389.79,12,560,0,1.5,1,PhD,Mortgage,Married,Business,0,38059.13,22849.09,32123.73,1
62,Male,111185.76,9265.48,Salaried,2,13272.78,36,741,1,0.0626,3,Bachelor,Rent,Married,Auto,0,0.0,337.17,422.07,0
33,Female,78812.71,6567.73,Salaried,2,8812.57,36,654,1,0.0894,2,High School,Mortgage,Single,Auto,0,47416.2,6059.21,296.93,0
52,Female,5831.41,485.95,Unemployed,0,4246.02,36,582,1,0.5888,3,Bachelor,Mortgage,Single,Auto,0,4357.82,3087.53,143.07,1
59,Female,144252.12,12021.01,Salaried,29,72342.46,12,816,0,0.5179,2,High School,Mortgage,Married,Auto,0,51028.46,33622.04,6226.26,0
69,Male,96106.33,8008.86,Salaried,33,144522.52,24,797,0,0.7998,0,Bachelor,Mortgage,Married,Business,0,24964.85,14112.73,6405.33,0
52,Female,9810.73,817.56,Student,0,20631.18,12,708,0,1.5,1,Bachelor,Rent,Married,Home,0,15241.22,10865.57,1804.23,1
24,Female,65122.24,5426.85,Salaried,0,32121.2,12,625,0,0.5287,0,Bachelor,Rent,Single,Auto,0,8869.74,4271.69,2868.98,0
50,Female,57093.0,4757.75,Salaried,2,6461.92,36,598,0,0.0458,1,Bachelor,Rent,Married,Auto,0,12980.47,9972.41,217.73,0
57,Male,99469.64,8289.14,Salaried,28,160716.81,24,822,1,0.8991,0,High School,Rent,Single,Home,0,27927.22,4586.8,7123.07,0
43,Female,101919.87,8493.32,Salaried,11,44453.28,36,610,0,0.1764,0,Bachelor,Mortgage,Married,Personal,0,4065.41,4178.25,1497.81,0
59,Female,184504.08,15375.34,Salaried,22,453612.93,48,787,0,0.6929,3,Bachelor,Rent,Married,Home,0,78503.58,28747.77,10653.11,0
65,Male,213551.3,17795.94,Salaried,27,520285.25,24,741,1,1.3526,3,Bachelor,Own,Married,Home,0,113672.28,19770.0,23769.1,0
35,Female,131892.35,10991.03,Salaried,13,199822.26,48,670,0,0.4877,1,Bachelor,Rent,Married,Business,1,24618.24,7347.01,5360.73,0
63,Female,139406.74,11617.23,Self-Employed,16,81745.73,48,688,1,0.2031,1,Bachelor,Rent,Married,Education,0,22710.96,8070.82,2034.25,0
49,Male,73221.89,6101.82,Salaried,15,59868.45,36,757,3,0.4733,2,Bachelor,Own,Married,Education,0,21516.21,4054.19,1821.31,0
56,Male,106450.92,8870.91,Self-Employed,8,17297.94,24,779,1,0.1182,1,Bachelor,Mortgage,Married,Education,0,37691.09,24376.19,766.66,0
33,Male,41820.02,3485.0,Salaried,2,86559.52,48,742,3,0.9175,4,High School,Mortgage,Single,Home,0,25461.65,5908.3,2154.04,0
52,Female,4947.63,412.3,Unemployed,0,4553.49,24,637,0,0.433,0,High School,Mortgage,Married,Auto,0,7905.39,2599.65,216.48,0
27,Female,2947.75,245.65,Unemployed,0,2000.0,36,704,1,0.3377,1,Bachelor,Rent,Married,Personal,0,6975.73,4967.27,63.6,0
42,Male,104499.87,8708.32,Salaried,21,33699.61,36,731,0,0.1231,3,High School,Mortgage,Married,Education,0,4660.71,3505.29,1071.64,0
48,Female,7838.08,653.17,Unemployed,0,2064.91,36,589,0,0.1065,3,Bachelor,Mortgage,Single,Education,1,5981.06,6171.89,69.57,1
22,Female,54020.44,4501.7,Salaried,0,181323.92,48,713,0,1.0023,1,Bachelor,Rent,Divorced,Home,0,15597.75,5255.62,4512.25,0
62,Male,115981.61,9665.13,Self-Employed,13,67870.95,24,697,1,0.3503,0,Master,Rent,Single,Education,0,38589.69,15555.33,3100.67,0
65,Female,171855.16,14321.26,Self-Employed,2,786659.97,60,723,1,1.148,2,PhD,Mortgage,Single,Home,0,28289.8,6377.28,16329.77,1
26,Female,77576.0,6464.67,Salaried,5,50540.0,12,729,1,0.7188,1,High School,Rent,Divorced,Business,0,12538.79,4289.54,4419.8,0
48,Female,233374.89,19447.91,Salaried,22,151333.88,24,729,3,0.404,2,PhD,Mortgage,Married,Personal,0,52525.52,17322.46,6913.65,0
48,Female,87615.36,7301.28,Salaried,20,200881.05,60,714,2,0.6121,1,Bachelor,Mortgage,Single,Home,0,39686.84,19512.21,4169.96,0
64,Female,80005.3,6667.11,Salaried,23,196671.04,12,690,1,1.5,0,Bachelor,Rent,Divorced,Home,0,28657.48,5638.68,17199.17,0
64,Female,86404.51,7200.38,Salaried,31,50699.39,36,850,2,0.2839,0,High School,Rent,Single,Education,0,26533.98,7359.03,1542.37,0
40,Male,182215.5,15184.62,Salaried,12,612608.56,24,708,1,1.5,1,Master,Mortgage,Married,Home,0,64351.99,10145.77,27986.86,0
50,Female,63847.36,5320.61,Salaried,4,38279.41,48,699,2,0.3103,0,High School,Mortgage,Married,Business,0,26386.94,3187.26,952.58,0
31,Female,121810.68,10150.89,Self-Employed,0,51536.28,12,691,1,0.4667,0,Master,Rent,Married,Personal,0,14850.85,9907.01,4506.92,0
48,Female,69965.85,5830.49,Salaried,11,129740.01,12,768,2,1.5,1,High School,Mortgage,Married,Home,0,9086.63,6329.98,11166.26,0
45,Male,146800.59,12233.38,Salaried,14,169718.02,24,706,0,0.6338,1,Bachelor,Mortgage,Single,Business,0,33619.61,8174.24,7753.52,0
59,Female,126523.95,10543.66,Salaried,18,103062.34,24,664,1,0.5003,0,Bachelor,Rent,Single,Education,0,2926.92,2879.78,4899.77,0
53,Male,31536.8,2628.07,Self-Employed,2,11220.05,48,651,0,0.1145,0,High School,Mortgage,Married,Auto,0,11081.45,7896.49,301.01,0
